Id,NOMBRE,NOM_MAP,TIPO_ASENT,MANZANA,OBSERV,ALIAS,NOM_y_MZA,Superficie,Brio_inter
1,Asentamiento San Pablo,Asent. San Pablo,Asentamientos precarios,,"Santander Nº 5.953/6.007, entre la Av. Argentina y la calle Lisandro de la Torre",,Asentamiento San Pablo,18977.051,
2,Conjunto Habitacional Luzuriaga 837,CH Luzuriaga 837,Conjunto Habitacional,,Luzuriaga 837,,Conjunto Habitacional Luzuriaga 837,4868.412,
3,Asentamiento Matanza y Ferré,Asent. Matanza y Ferré,Asentamientos precarios,,Matanza y Ferré,,Asentamiento Matanza y Ferré,2225.129,
4,Asentamiento Don Pedro de Mendoza y Villarino,Asent. Don Pedro de Mendoza y Villarino,Asentamientos precarios,,Don Pedro de Mendoza y Villarino,,Asentamiento Don Pedro de Mendoza y Villarino,2134.229,
5,Conjunto Habitacional San Antonio 721,CH San Antonio 721,Conjunto Habitacional,,,,Conjunto Habitacional San Antonio 721,2351.166,
6,Conjunto Habitacional Lacarra 2049,CH Lacarra 2049,Conjunto Habitacional,,,,Conjunto Habitacional Lacarra 2049,3420.090,
7,Asentamiento Hubac 4744,Asent. Hubac,Asentamientos precarios,,,,Asentamiento Hubac 4744,9064.641,
8,Conjunto Habitacional Valparaíso/Veracruz 3459,CH Valparaíso/Veracruz 3459,Conjunto Habitacional,,,,Conjunto Habitacional Valparaíso/Veracruz 3459,7372.028,
9,Conjunto Habitacional Osvaldo Cruz y Luna,CH Osvaldo Cruz y Luna,Conjunto Habitacional,,,,Conjunto Habitacional Osvaldo Cruz y Luna,4701.568,
10,Asentamiento Los Arcos,Asent. Los Arcos,Asentamientos precarios,,,,Asentamiento Los Arcos,27505.191,
11,Conjunto Habitacional La Lechería,CH La Lechería,Conjunto Habitacional,,,,Conjunto Habitacional La Lechería,782.957,
12,Asentamiento Chascomús 4400,Asent. Chascomús 4400,Asentamientos precarios,,Chascomús 4400/4454,,Asentamiento Chascomús 4400,1044.707,
13,Villa 26,Villa 26,Villas,,Este sector figuraba como el Anexo Villa 26 pero fue el único sector de Villa que quedó. Lo otro se elliminó por el Camino de Sirga,Anexo Villa 26,Villa 26,3871.335,
14,Asentamiento El Campito,Asent. El Campito,Asentamientos precarios,,,,Asentamiento El Campito,4636.595,
15,Conjunto Habitacional San Francisco,CH San Francisco,Conjunto Habitacional,,,,Conjunto Habitacional San Francisco,30670.927,
16,Complejo Habitacional U7,CH U7,Conjunto Habitacional,,,,Complejo Habitacional U7,7010.658,
17,Conjunto Habitacional Barrio N. Kirchner,CH Bo. N. Kirchner,Conjunto Habitacional,,,,Conjunto Habitacional Barrio N. Kirchner,8128.756,
18,Conjunto Habitacional Lacarra y Cruz,CH Lacarra y Cruz,Conjunto Habitacional,,,,Conjunto Habitacional Lacarra y Cruz,9538.520,
19,Asentamiento Agustín de Vedia,Asent. Agustín de Vedia,Asentamientos precarios,,,,Asentamiento Agustín de Vedia,1766.139,
20,Conjunto Habitacional Rivera Luna,CH Rivera Luna,Conjunto Habitacional,,Redigitalización,Conjunto Habitacional Orma,Conjunto Habitacional Rivera Luna,16736.079,
21,Conjunto Habitacional Ribera Iguazú,CH Ribera Iguazú,Conjunto Habitacional,,,Mundo Grúa,Conjunto Habitacional Ribera Iguazú,18609.937,
22,Asentamiento Luján,Asent. Luján,Asentamientos precarios,,Diferenciado del Asentamiento de enfrente,,Asentamiento Luján,6331.032,
23,Complejo Habitacional Zavaleta,CH Zavaleta,Conjunto Habitacional,,,Zavaleta,Complejo Habitacional Zavaleta,22380.977,
24,Conjunto Habitacional Sector Bonorino ex Villa 1-11-14,CH Sector Bonorino,Conjunto Habitacional,,Complejo de Edificios linderos a Villa 1-11-14,,Conjunto Habitacional Sector Bonorino ex Villa 1-11-14,13940.285,
25,Barrio Rivadavia II,Bo. Rivadavia II,Barrios municipales,,Barrio de casas y edificios humildes y precarios linderos a Villa 1-11-14. EN Mayo de 2020 se separó el sector de la esquina de Av Riestra y Torres y Tenorio ya que es considerado Manzana 48 de la Villa 1-11-14 Ricciardelli,,Barrio Rivadavia II,21686.378,
26,Colonia Solá,Bo. Colonia Solá,Barrios municipales,,Barrio de casas y complejos de viviendas con relativa deficiencia habitacional,,Colonia Solá,7089.239,
27,Complejo Habitacional 26 de junio (ex 33 viviendas),CH 26 de junio (ex 33 viviendas),Conjunto Habitacional,,Barrio humilde de construcciones precarias  y de casas bajas - Redigitalizado por USIG en Junio de 2016 (agregado de parte posterior a Av Riestra),,Complejo Habitacional 26 de junio (ex 33 viviendas),5226.193,
28,Conjunto Habitacional Padre Mugica,CH Padre Mugica,Conjunto Habitacional,,,,Conjunto Habitacional Padre Mugica,43521.197,
29,Asentamiento La Veredita,Asent. La Veredita,Asentamientos precarios,,"Antes se llamaba Portela, luego se denominó La Veredita",Portela,Asentamiento La Veredita,4396.722,
30,Asentamiento San Cayetano,Asent. San Cayetano,Asentamientos precarios,,,,Asentamiento San Cayetano,2175.037,
