WKT,nombre,descripción
"POINT (-58.44435050000001 -34.6434162)",Villa 13 bis,
"POINT (-58.37830409999999 -34.584078)",Villa 31,
"POINT (-58.4408669 -34.65040759999999)",Villa 1-11-14,
"POINT (-58.39951869999999 -34.655627)",Villa 21-24,
"POINT (-58.46380989999999 -34.6770644)",Villa 20 - Barrio 20,
"POINT (-58.38548489999999 -34.5810683)",Villa 31 bis,
"POINT (-58.4727536 -34.658765)",Barrio Cildáñez - Villa 6,
"POINT (-58.49141940000001 -34.6712492)",Barrio 15 - Ciudad Oculta,
"POINT (-58.4865886 -34.6836656)",Barrio INTA,
"POINT (-58.49516260000001 -34.6769914)",Villa 17 - Barrio Pirelli,
"POINT (-58.4521782 -34.6594724)",Barrio Fátima - Villa 3,
"POINT (-58.4514167 -34.6562937)",Barrio Los Pinos - Las Palomas,
"POINT (-58.35381679999999 -34.6179331)",Barrio Rodrigo Bueno,
"POINT (-58.4565202 -34.584545)",Barrio Playón Chacarita,
"POINT (-58.47586829999999 -34.5943068)",la carbonilla,
"POINT (-58.3546983 -34.6342147)",Sector La madrid,
"POINT (-58.3992648 -34.5749683)",Asentamiento Saldías,
